agent,full_name,refactoring_type,count
Human,Jacksgong/JKeyboardPanelSwitch,Replace Anonymous With Class,1
Human,Jacksgong/JKeyboardPanelSwitch,Replace Attribute With Variable,1
Human,JakeWharton/DiskLruCache,Add Class Modifier,1
Human,JakeWharton/DiskLruCache,Add Method Modifier,1
Human,JakeWharton/DiskLruCache,Add Parameter,1
Human,JakeWharton/DiskLruCache,Add Variable Modifier,1
Human,JakeWharton/DiskLruCache,Change Attribute Access Modifier,1
Human,JakeWharton/DiskLruCache,Change Attribute Type,1
Human,JakeWharton/DiskLruCache,Change Class Access Modifier,2
Human,JakeWharton/DiskLruCache,Change Method Access Modifier,1
Human,JakeWharton/DiskLruCache,Change Variable Type,1
Human,JakeWharton/DiskLruCache,Extract Variable,1
Human,JakeWharton/DiskLruCache,Inline Variable,2
Human,JakeWharton/DiskLruCache,Move Method,4
Human,JakeWharton/DiskLruCache,Remove Attribute Modifier,1
Human,JakeWharton/DiskLruCache,Rename Attribute,3
Human,JakeWharton/DiskLruCache,Rename Class,1
Human,JakeWharton/DiskLruCache,Rename Method,1
Human,JakeWharton/DiskLruCache,Rename Variable,4
Human,JakeWharton/NineOldAndroids,Change Attribute Type,3
Human,JakeWharton/NineOldAndroids,Extract Method,1
Human,JakeWharton/NineOldAndroids,Extract Variable,38
Human,JakeWharton/NineOldAndroids,Parameterize Variable,1
Human,JakeWharton/NineOldAndroids,Remove Variable Modifier,1
Human,JakeWharton/NineOldAndroids,Rename Variable,2
Human,KingJA/LoadSir,Invert Condition,4
Human,MiguelCatalan/MaterialSearchView,Add Parameter,1
Human,MiguelCatalan/MaterialSearchView,Change Method Access Modifier,2
Human,MiguelCatalan/MaterialSearchView,Extract Method,1
Human,MiguelCatalan/MaterialSearchView,Extract Variable,1
Human,MiguelCatalan/MaterialSearchView,Inline Variable,1
Human,MiguelCatalan/MaterialSearchView,Remove Parameter,1
Human,Netflix/SimianArmy,Add Attribute Modifier,2
Human,Netflix/SimianArmy,Add Class Annotation,4
Human,Netflix/SimianArmy,Add Parameter,12
Human,Netflix/SimianArmy,Change Attribute Access Modifier,40
Human,Netflix/SimianArmy,Change Method Access Modifier,19
Human,Netflix/SimianArmy,Change Return Type,6
Human,Netflix/SimianArmy,Change Variable Type,8
Human,Netflix/SimianArmy,Encapsulate Attribute,1
